,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
77,2007-06-30,340797834.21262485,346766236.1232634,369751774.8207586,340797834.21262485,340797834.21262485,17184057.318118162,17184057.318118162,17184057.318118162,17184057.318118162,17184057.318118162,17184057.318118162,0.0,0.0,0.0,357981891.530743
78,2007-07-31,340831384.02077764,390797671.27380836,412614146.92508954,340831384.02077764,340831384.02077764,61032692.87803247,61032692.87803247,61032692.87803247,61032692.87803247,61032692.87803247,61032692.87803247,0.0,0.0,0.0,401864076.8988101
79,2007-08-31,340864933.8289304,392008212.89910424,414420386.39411205,340864933.8289304,340864933.8289304,61769158.223420456,61769158.223420456,61769158.223420456,61769158.223420456,61769158.223420456,61769158.223420456,0.0,0.0,0.0,402634092.0523508
80,2007-09-30,340897401.3852073,334917487.71369237,357228262.9530435,340897401.3852073,340897401.3852073,5160847.399235945,5160847.399235945,5160847.399235945,5160847.399235945,5160847.399235945,5160847.399235945,0.0,0.0,0.0,346058248.78444326
81,2007-10-31,340930951.1933601,305051512.77940065,328240531.3645402,340930951.1933601,340930951.1933601,-24183353.43864049,-24183353.43864049,-24183353.43864049,-24183353.43864049,-24183353.43864049,-24183353.43864049,0.0,0.0,0.0,316747597.7547196
82,2007-11-30,340963418.74963695,299333972.66618353,322756702.8979216,340963418.74963695,340963418.74963695,-30263270.59942547,-30263270.59942547,-30263270.59942547,-30263270.59942547,-30263270.59942547,-30263270.59942547,0.0,0.0,0.0,310700148.15021145
83,2007-12-31,340945068.8622909,327779304.2047572,350392174.01104844,340945068.8622909,340945068.8622909,-1290060.6074656043,-1290060.6074656043,-1290060.6074656043,-1290060.6074656043,-1290060.6074656043,-1290060.6074656043,0.0,0.0,0.0,339655008.2548253
84,2008-01-31,340926718.97494483,343583530.08473134,366365727.5360349,340926718.97494483,340926718.97494483,14183177.399478827,14183177.399478827,14183177.399478827,14183177.399478827,14183177.399478827,14183177.399478827,0.0,0.0,0.0,355109896.3744237
85,2008-02-29,340909552.9512985,303056531.0097693,324781250.66935796,340909552.9512985,340909552.9512985,-26823927.700327035,-26823927.700327035,-26823927.700327035,-26823927.700327035,-26823927.700327035,-26823927.700327035,0.0,0.0,0.0,314085625.25097144
86,2008-03-31,340891203.06395245,304326142.019607,326840628.30503803,340891203.06395245,340891203.06395245,-24664499.322717737,-24664499.322717737,-24664499.322717737,-24664499.322717737,-24664499.322717737,-24664499.322717737,0.0,0.0,0.0,316226703.7412347
87,2008-04-30,340873445.10845625,284948117.83371365,307744298.7788476,340873445.10845625,340873445.10845625,-43830498.203198284,-43830498.203198284,-43830498.203198284,-43830498.203198284,-43830498.203198284,-43830498.203198284,0.0,0.0,0.0,297042946.90525794
88,2008-05-31,340855095.22111017,314474653.11341083,337522977.78603905,340855095.22111017,340855095.22111017,-14575740.529791214,-14575740.529791214,-14575740.529791214,-14575740.529791214,-14575740.529791214,-14575740.529791214,0.0,0.0,0.0,326279354.6913189
89,2008-06-30,340837337.26561403,355500647.9236137,377717870.8939157,340837337.26561403,340837337.26561403,25696487.119899005,25696487.119899005,25696487.119899005,25696487.119899005,25696487.119899005,25696487.119899005,0.0,0.0,0.0,366533824.38551307
90,2008-07-31,340818987.37826794,393745841.9036839,416571631.17027926,340818987.37826794,340818987.37826794,63914756.9701748,63914756.9701748,63914756.9701748,63914756.9701748,63914756.9701748,63914756.9701748,0.0,0.0,0.0,404733744.34844273
